sharp_metric,faith_metric,method,sharpness,faithfulness,dominated_by,on_frontier
gini,FaithfulnessCorrelation,GuidedGradCam,0.8312250375747681,0.009,[],True
gini,FaithfulnessCorrelation,DeepLift,0.5808241367340088,-0.006,['GuidedGradCam'],False
gini,FaithfulnessCorrelation,Deconvolution,0.48561030626296997,-0.004,['GuidedGradCam'],False
gini,FaithfulnessCorrelation,MarginPullback,0.4680464267730713,0.058,[],True
gini,FaithfulnessCorrelation,Saliency,0.4616459310054779,0.01,['MarginPullback'],False
gini,FaithfulnessCorrelation,Gradient,0.4616459310054779,0.014,['MarginPullback'],False
gini,FaithfulnessCorrelation,DistributionPullback,0.4559704661369324,0.073,[],True
gini,FaithfulnessCorrelation,SoftPullback,0.45538753271102905,0.072,['DistributionPullback'],False
gini,FaithfulnessCorrelation,DoublePullback,0.4487224817276001,0.053,"['DistributionPullback', 'MarginPullback', 'SoftPullback']",False
gini,FaithfulnessCorrelation,MarginAscent,0.42662233114242554,0.038,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
gini,FaithfulnessCorrelation,PullbackAscent,0.4216865003108978,0.045,"['DistributionPullback', 'DoublePullback', 'MarginPullback', 'SoftPullback']",False
gini,MonotonicityCorrelation,GuidedGradCam,0.8312250375747681,0.402,[],True
gini,MonotonicityCorrelation,DeepLift,0.5808241367340088,0.305,['GuidedGradCam'],False
gini,MonotonicityCorrelation,Deconvolution,0.48561030626296997,0.216,"['DeepLift', 'GuidedGradCam']",False
gini,MonotonicityCorrelation,MarginPullback,0.4680464267730713,0.226,"['DeepLift', 'GuidedGradCam']",False
gini,MonotonicityCorrelation,Saliency,0.4616459310054779,0.157,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
gini,MonotonicityCorrelation,Gradient,0.4616459310054779,0.157,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
gini,MonotonicityCorrelation,DistributionPullback,0.4559704661369324,0.208,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
gini,MonotonicityCorrelation,SoftPullback,0.45538753271102905,0.208,"['Deconvolution', 'DeepLift', 'GuidedGradCam', 'MarginPullback']",False
gini,MonotonicityCorrelation,DoublePullback,0.4487224817276001,0.207,"['Deconvolution', 'DeepLift', 'DistributionPullback', 'GuidedGradCam', 'MarginPullback', 'SoftPullback']",False
gini,MonotonicityCorrelation,MarginAscent,0.42662233114242554,0.228,"['DeepLift', 'GuidedGradCam']",False
gini,MonotonicityCorrelation,PullbackAscent,0.4216865003108978,0.234,"['DeepLift', 'GuidedGradCam']",False
gini,FaithfulnessEstimate,GuidedGradCam,0.8312250375747681,0.072,[],True
gini,FaithfulnessEstimate,DeepLift,0.5808241367340088,-0.152,['GuidedGradCam'],False
gini,FaithfulnessEstimate,Deconvolution,0.48561030626296997,0.173,[],True
gini,FaithfulnessEstimate,MarginPullback,0.4680464267730713,0.557,[],True
gini,FaithfulnessEstimate,Saliency,0.4616459310054779,0.071,"['Deconvolution', 'GuidedGradCam', 'MarginPullback']",False
gini,FaithfulnessEstimate,Gradient,0.4616459310054779,0.384,['MarginPullback'],False
