method,sample,measure,value
SoftPullback,0,gini,0.4178307056427002
SoftPullback,1,gini,0.4596406817436218
SoftPullback,2,gini,0.3894731104373932
SoftPullback,3,gini,0.5115759968757629
SoftPullback,4,gini,0.398266077041626
SoftPullback,5,gini,0.44087865948677063
SoftPullback,6,gini,0.41010960936546326
SoftPullback,7,gini,0.49622324109077454
SoftPullback,8,gini,0.4414631128311157
SoftPullback,9,gini,0.48973754048347473
SoftPullback,10,gini,0.43624886870384216
SoftPullback,11,gini,0.4203341603279114
SoftPullback,12,gini,0.44039633870124817
SoftPullback,13,gini,0.6622675061225891
SoftPullback,14,gini,0.4559992253780365
SoftPullback,15,gini,0.6009911298751831
SoftPullback,16,gini,0.45852771401405334
SoftPullback,17,gini,0.4806176722049713
SoftPullback,18,gini,0.45502153038978577
SoftPullback,19,gini,0.46460849046707153
SoftPullback,20,gini,0.4528258442878723
SoftPullback,21,gini,0.48851945996284485
SoftPullback,22,gini,0.455901175737381
SoftPullback,23,gini,0.5108867287635803
SoftPullback,24,gini,0.47582462430000305
SoftPullback,25,gini,0.4476736783981323
SoftPullback,26,gini,0.40719932317733765
SoftPullback,27,gini,0.40181973576545715
SoftPullback,28,gini,0.4185948669910431
SoftPullback,29,gini,0.42618802189826965
SoftPullback,30,gini,0.421874076128006
SoftPullback,31,gini,0.40475043654441833
SoftPullback,32,gini,0.4124460518360138
SoftPullback,33,gini,0.47929611802101135
SoftPullback,34,gini,0.37933769822120667
SoftPullback,35,gini,0.39746493101119995
SoftPullback,36,gini,0.4259139895439148
SoftPullback,37,gini,0.4401091933250427
SoftPullback,38,gini,0.41300714015960693
SoftPullback,39,gini,0.5465368032455444
SoftPullback,40,gini,0.4091145694255829
SoftPullback,41,gini,0.39412757754325867
SoftPullback,42,gini,0.39084067940711975
SoftPullback,43,gini,0.48578253388404846
SoftPullback,44,gini,0.4557652473449707
SoftPullback,45,gini,0.48060235381126404
SoftPullback,46,gini,0.40247827768325806
SoftPullback,47,gini,0.4256828725337982
SoftPullback,48,gini,0.5195397734642029
SoftPullback,49,gini,0.4242876470088959
SoftPullback,50,gini,0.4913986325263977
SoftPullback,51,gini,0.4650585353374481
SoftPullback,52,gini,0.4185919165611267
SoftPullback,53,gini,0.524912416934967
SoftPullback,54,gini,0.4673348665237427
SoftPullback,55,gini,0.5676610469818115
SoftPullback,56,gini,0.4496365785598755
SoftPullback,57,gini,0.45141682028770447
SoftPullback,58,gini,0.5413010120391846
SoftPullback,59,gini,0.456757128238678
SoftPullback,60,gini,0.3992658853530884
SoftPullback,61,gini,0.4360435903072357
SoftPullback,62,gini,0.47140252590179443
SoftPullback,63,gini,0.479419469833374
SoftPullback,0,spatial_entropy,0.9721881151199341
SoftPullback,1,spatial_entropy,0.9663997292518616
SoftPullback,2,spatial_entropy,0.9765794277191162
SoftPullback,3,spatial_entropy,0.9577094316482544
SoftPullback,4,spatial_entropy,0.9752190113067627
SoftPullback,5,spatial_entropy,0.9695760011672974
SoftPullback,6,spatial_entropy,0.9734508991241455
SoftPullback,7,spatial_entropy,0.9594120979309082
SoftPullback,8,spatial_entropy,0.9687241315841675
SoftPullback,9,spatial_entropy,0.9607620239257812
SoftPullback,10,spatial_entropy,0.9697343111038208
SoftPullback,11,spatial_entropy,0.9719746708869934
SoftPullback,12,spatial_entropy,0.968028724193573
SoftPullback,13,spatial_entropy,0.9239695072174072
SoftPullback,14,spatial_entropy,0.9659596085548401
SoftPullback,15,spatial_entropy,0.9357352256774902
SoftPullback,16,spatial_entropy,0.9668028950691223
SoftPullback,17,spatial_entropy,0.9625895619392395
SoftPullback,18,spatial_entropy,0.9663106203079224
SoftPullback,19,spatial_entropy,0.9660887718200684
SoftPullback,20,spatial_entropy,0.9667612314224243
SoftPullback,21,spatial_entropy,0.9608756899833679
SoftPullback,22,spatial_entropy,0.9655630588531494
SoftPullback,23,spatial_entropy,0.9558354020118713
SoftPullback,24,spatial_entropy,0.9631506204605103
SoftPullback,25,spatial_entropy,0.9664311408996582
SoftPullback,26,spatial_entropy,0.9738256335258484
SoftPullback,27,spatial_entropy,0.9745491743087769
SoftPullback,28,spatial_entropy,0.9726700782775879
SoftPullback,29,spatial_entropy,0.9718170762062073
SoftPullback,30,spatial_entropy,0.9715421795845032
SoftPullback,31,spatial_entropy,0.9743404984474182
SoftPullback,32,spatial_entropy,0.9735114574432373
SoftPullback,33,spatial_entropy,0.9547554850578308
SoftPullback,34,spatial_entropy,0.9776261448860168
SoftPullback,35,spatial_entropy,0.9752624034881592
SoftPullback,36,spatial_entropy,0.9714468121528625
SoftPullback,37,spatial_entropy,0.9698469638824463
SoftPullback,38,spatial_entropy,0.9731645584106445
SoftPullback,39,spatial_entropy,0.9507730007171631
SoftPullback,40,spatial_entropy,0.9731718897819519
SoftPullback,41,spatial_entropy,0.9753316640853882
SoftPullback,42,spatial_entropy,0.9757607579231262
SoftPullback,43,spatial_entropy,0.9588983058929443
SoftPullback,44,spatial_entropy,0.9669272899627686
SoftPullback,45,spatial_entropy,0.9630295634269714
SoftPullback,46,spatial_entropy,0.9747276306152344
SoftPullback,47,spatial_entropy,0.9714875221252441
SoftPullback,48,spatial_entropy,0.9556926488876343
SoftPullback,49,spatial_entropy,0.9710893630981445
SoftPullback,50,spatial_entropy,0.9606846570968628
SoftPullback,51,spatial_entropy,0.9655663967132568
SoftPullback,52,spatial_entropy,0.9720371961593628
SoftPullback,53,spatial_entropy,0.9548645615577698
SoftPullback,54,spatial_entropy,0.9647290706634521
SoftPullback,55,spatial_entropy,0.9444959759712219
SoftPullback,56,spatial_entropy,0.9674789309501648
SoftPullback,57,spatial_entropy,0.9675285816192627
SoftPullback,58,spatial_entropy,0.9501727223396301
SoftPullback,59,spatial_entropy,0.9667439460754395
SoftPullback,60,spatial_entropy,0.9747956395149231
SoftPullback,61,spatial_entropy,0.9700566530227661
SoftPullback,62,spatial_entropy,0.9639283418655396
SoftPullback,63,spatial_entropy,0.9614503383636475
SoftPullback,0,effective_support,0.7400657534599304
SoftPullback,1,effective_support,0.6951237916946411
SoftPullback,2,effective_support,0.7760892510414124
SoftPullback,3,effective_support,0.632722795009613
SoftPullback,4,effective_support,0.7647458910942078
SoftPullback,5,effective_support,0.7194356918334961
SoftPullback,6,effective_support,0.7502501606941223
SoftPullback,7,effective_support,0.6444908976554871
SoftPullback,8,effective_support,0.7128333449363708
SoftPullback,9,effective_support,0.6539762020111084
SoftPullback,10,effective_support,0.7206698656082153
SoftPullback,11,effective_support,0.7383579611778259
SoftPullback,12,effective_support,0.7074882984161377
SoftPullback,13,effective_support,0.4391562044620514
SoftPullback,14,effective_support,0.691820502281189
SoftPullback,15,effective_support,0.4987967014312744
SoftPullback,16,effective_support,0.6981635689735413
SoftPullback,17,effective_support,0.6670407652854919
SoftPullback,18,effective_support,0.6944537162780762
SoftPullback,19,effective_support,0.6927879452705383
SoftPullback,20,effective_support,0.6978488564491272
SoftPullback,21,effective_support,0.6547811627388
SoftPullback,22,effective_support,0.6888574957847595
SoftPullback,23,effective_support,0.6200183629989624
SoftPullback,24,effective_support,0.6711035966873169
SoftPullback,25,effective_support,0.695360004901886
SoftPullback,26,effective_support,0.7532994151115417
SoftPullback,27,effective_support,0.7592213749885559
SoftPullback,28,effective_support,0.7439361810684204
SoftPullback,29,effective_support,0.7370997667312622
SoftPullback,30,effective_support,0.7349098920822144
SoftPullback,31,effective_support,0.7575088739395142
SoftPullback,32,effective_support,0.7507422566413879
SoftPullback,33,effective_support,0.6128134727478027
SoftPullback,34,effective_support,0.784931480884552
SoftPullback,35,effective_support,0.7651048898696899
SoftPullback,36,effective_support,0.7341519594192505
SoftPullback,37,effective_support,0.7215489149093628
SoftPullback,38,effective_support,0.7479286789894104
SoftPullback,39,effective_support,0.5869602560997009
SoftPullback,40,effective_support,0.7479880452156067
SoftPullback,41,effective_support,0.7656786441802979
SoftPullback,42,effective_support,0.769243061542511
SoftPullback,43,effective_support,0.640916645526886
SoftPullback,44,effective_support,0.6991043090820312
SoftPullback,45,effective_support,0.6702248454093933
SoftPullback,46,effective_support,0.7606892585754395
SoftPullback,47,effective_support,0.7344751954078674
SoftPullback,48,effective_support,0.6190608739852905
SoftPullback,49,effective_support,0.7313169240951538
SoftPullback,50,effective_support,0.6534291505813599
SoftPullback,51,effective_support,0.6888821125030518
SoftPullback,52,effective_support,0.7388578653335571
SoftPullback,53,effective_support,0.6135374307632446
SoftPullback,54,effective_support,0.6826674938201904
SoftPullback,55,effective_support,0.5484077334403992
SoftPullback,56,effective_support,0.7032908201217651
SoftPullback,57,effective_support,0.7036688923835754
SoftPullback,58,effective_support,0.583159327507019
SoftPullback,59,effective_support,0.6977183222770691
SoftPullback,60,effective_support,0.7612496018409729
SoftPullback,61,effective_support,0.7231882214546204
SoftPullback,62,effective_support,0.6767764687538147
SoftPullback,63,effective_support,0.6588664054870605
SoftPullback,0,top1pct_mass,0.05921614170074463
SoftPullback,1,top1pct_mass,0.06386014074087143
SoftPullback,2,top1pct_mass,0.048390135169029236
SoftPullback,3,top1pct_mass,0.07216549664735794
SoftPullback,4,top1pct_mass,0.0522293746471405
SoftPullback,5,top1pct_mass,0.05697561800479889
SoftPullback,6,top1pct_mass,0.05554063990712166
