method,gini,gini__std,spatial_entropy,spatial_entropy__std,effective_support,effective_support__std,top1pct_mass,top1pct_mass__std,top5pct_mass,top5pct_mass__std,total_variation,total_variation__std,channel_cancellation,channel_cancellation__std
SoftPullback,0.45538753271102905,0.052299417555332184,0.9658064842224121,0.009633633308112621,0.6942030191421509,0.06600957363843918,0.06761253625154495,0.0156443789601326,0.21098923683166504,0.03415343537926674,0.5362149477005005,0.03149588033556938,0.19688571989536285,0.02532036602497101
DoublePullback,0.4487224817276001,0.048283714801073074,0.9667124152183533,0.009292546659708023,0.7008340954780579,0.06535918265581131,0.06735433638095856,0.021854963153600693,0.208094984292984,0.034836944192647934,0.5316832661628723,0.02931608445942402,0.20123174786567688,0.02377360314130783
PullbackAscent,0.4216865003108978,0.040297918021678925,0.9718440771102905,0.00614783214405179,0.7388874292373657,0.04650017246603966,0.05468519404530525,0.007760521024465561,0.18520651757717133,0.020883383229374886,0.5633595585823059,0.015600227750837803,0.19310832023620605,0.02296462655067444
DistributionPullback,0.4559704661369324,0.04950352758169174,0.9657719135284424,0.009196407161653042,0.6936228275299072,0.06276286393404007,0.06762947887182236,0.015299202874302864,0.2110520899295807,0.03317969664931297,0.535366415977478,0.03061288595199585,0.19741567969322205,0.024762630462646484
MarginPullback,0.4680464267730713,0.06477601826190948,0.9632714986801147,0.012641537934541702,0.6777865290641785,0.08216505497694016,0.07134881615638733,0.01861022785305977,0.2200235277414322,0.04369431361556053,0.5386542677879333,0.03076097182929516,0.19495457410812378,0.02537856437265873
MarginAscent,0.42662233114242554,0.04408969357609749,0.9710930585861206,0.006746893282979727,0.7332326173782349,0.05095548555254936,0.05545046553015709,0.008326607756316662,0.18744878470897675,0.022622540593147278,0.5630463361740112,0.01577506586909294,0.19282519817352295,0.023886730894446373
EntropyFlow,0.3990452289581299,0.02437610737979412,0.9746968150138855,0.0036137187853455544,0.761011004447937,0.029267461970448494,0.054810404777526855,0.008082535117864609,0.1797812432050705,0.015607374720275402,0.5277153253555298,0.04112981632351875,0.18792852759361267,0.025172851979732513
ClassEntropyFlow,0.43822649121284485,0.04053561016917229,0.9690358638763428,0.006583880167454481,0.7169936895370483,0.04841902107000351,0.061806757003068924,0.009450077079236507,0.1983950287103653,0.02300572395324707,0.5399682521820068,0.0313069149851799,0.18607556819915771,0.021878086030483246
Gradient,0.4616459310054779,0.03934834152460098,0.9649373292922974,0.007246848661452532,0.6862553358078003,0.051597703248262405,0.070015549659729,0.01373649574816227,0.21550628542900085,0.02869194559752941,0.5848513841629028,0.029389817267656326,0.20766650140285492,0.04968597739934921
Saliency,0.4616459310054779,0.03934834152460098,0.9649373292922974,0.007246848661452532,0.6862553358078003,0.051597703248262405,0.070015549659729,0.01373649574816227,0.21550628542900085,0.02869194559752941,0.5848513841629028,0.029389817267656326,-4.6566128730773926e-09,7.398594448204676e-08
Deconvolution,0.48561030626296997,0.014995729550719261,0.9628099203109741,0.0026231887750327587,0.6689035296440125,0.019024323672056198,0.06074129790067673,0.004899539984762669,0.20688799023628235,0.012722565792500973,0.5458468794822693,0.011543110013008118,0.03714451938867569,0.009469644166529179
GuidedGradCam,0.8312250375747681,0.07088121026754379,0.8466022610664368,0.043105289340019226,0.21072866022586823,0.09378647804260254,0.239938884973526,0.08535894751548767,0.556307315826416,0.1310078352689743,0.667806088924408,0.040370482951402664,0.08146114647388458,0.03729068860411644
DeepLift,0.5808241367340088,0.05890122428536415,0.9401608109474182,0.017054665833711624,0.5312194228172302,0.0829547867178917,0.10754987597465515,0.03010040707886219,0.2981185019016266,0.058730147778987885,0.6457966566085815,0.015531336888670921,0.16728374361991882,0.03595127910375595
