model,method,metric,mean,std,median,n
resnet50,SoftPullback,Infidelity,8.855,5.878,,200
resnet50,SoftPullback,FaithfulnessCorrelation,0.072,0.147,,200
resnet50,SoftPullback,MonotonicityCorrelation,0.208,0.36,,200
resnet50,SoftPullback,FaithfulnessEstimate,0.515,0.297,,200
resnet50,SoftPullback,MaxSensitivity,0.401,0.216,,200
resnet50,SoftPullback,RandomLogit,-0.018,0.16,,200
resnet50,DoublePullback,Infidelity,9.357,5.794,,200
resnet50,DoublePullback,FaithfulnessCorrelation,0.053,0.153,,200
resnet50,DoublePullback,MonotonicityCorrelation,0.207,0.347,,200
resnet50,DoublePullback,FaithfulnessEstimate,0.362,0.396,,200
resnet50,DoublePullback,MaxSensitivity,0.616,0.342,,200
resnet50,DoublePullback,RandomLogit,0.006,0.086,,200
resnet50,PullbackAscent,Infidelity,860000.0,2800000.0,,200
resnet50,PullbackAscent,FaithfulnessCorrelation,0.045,0.141,,200
resnet50,PullbackAscent,MonotonicityCorrelation,0.234,0.359,,200
resnet50,PullbackAscent,FaithfulnessEstimate,0.629,0.277,,200
resnet50,PullbackAscent,MaxSensitivity,1.054,0.09,,200
resnet50,PullbackAscent,RandomLogit,0.011,0.036,,200
resnet50,DistributionPullback,Infidelity,9.556,7.296,,200
resnet50,DistributionPullback,FaithfulnessCorrelation,0.073,0.149,,200
resnet50,DistributionPullback,MonotonicityCorrelation,0.208,0.369,,200
resnet50,DistributionPullback,FaithfulnessEstimate,0.281,0.411,,200
resnet50,DistributionPullback,MaxSensitivity,0.411,0.241,,200
resnet50,DistributionPullback,RandomLogit,-0.059,0.199,,200
resnet50,DistributionDoublePullback,Infidelity,10.658,7.363,,200
resnet50,DistributionDoublePullback,FaithfulnessCorrelation,0.031,0.151,,200
resnet50,DistributionDoublePullback,MonotonicityCorrelation,0.207,0.359,,200
resnet50,DistributionDoublePullback,FaithfulnessEstimate,0.339,0.371,,200
resnet50,DistributionDoublePullback,MaxSensitivity,0.64,0.322,,200
resnet50,DistributionDoublePullback,RandomLogit,0.008,0.095,,200
resnet50,DistributionAscent,Infidelity,896000.0,3100000.0,,200
resnet50,DistributionAscent,FaithfulnessCorrelation,0.053,0.137,,200
resnet50,DistributionAscent,MonotonicityCorrelation,0.224,0.363,,200
resnet50,DistributionAscent,FaithfulnessEstimate,0.445,0.358,,200
resnet50,DistributionAscent,MaxSensitivity,1.07,0.092,,200
resnet50,DistributionAscent,RandomLogit,0.006,0.044,,200
resnet50,MarginPullback,Infidelity,8.903,6.132,,200
resnet50,MarginPullback,FaithfulnessCorrelation,0.058,0.161,,200
resnet50,MarginPullback,MonotonicityCorrelation,0.226,0.38,,200
resnet50,MarginPullback,FaithfulnessEstimate,0.557,0.261,,200
resnet50,MarginPullback,MaxSensitivity,0.41,0.23,,200
resnet50,MarginPullback,RandomLogit,0.084,0.287,,200
resnet50,MarginAscent,Infidelity,814000.0,2800000.0,,200
resnet50,MarginAscent,FaithfulnessCorrelation,0.038,0.142,,200
resnet50,MarginAscent,MonotonicityCorrelation,0.228,0.353,,200
resnet50,MarginAscent,FaithfulnessEstimate,0.686,0.214,,200
resnet50,MarginAscent,MaxSensitivity,1.052,0.09,,200
resnet50,MarginAscent,RandomLogit,0.022,0.06,,200
resnet50,GradientAscent,Infidelity,1650000.0,5600000.0,,200
resnet50,GradientAscent,FaithfulnessCorrelation,0.04,0.141,,200
resnet50,GradientAscent,MonotonicityCorrelation,0.221,0.327,,200
resnet50,GradientAscent,FaithfulnessEstimate,0.546,0.264,,200
resnet50,GradientAscent,MaxSensitivity,1.282,0.045,,200
resnet50,GradientAscent,RandomLogit,0.011,0.038,,200
resnet50,MarginAscentFrozen,Infidelity,856000.0,3100000.0,,200
resnet50,MarginAscentFrozen,FaithfulnessCorrelation,0.033,0.15,,200
resnet50,MarginAscentFrozen,MonotonicityCorrelation,0.22,0.345,,200
resnet50,MarginAscentFrozen,FaithfulnessEstimate,0.645,0.284,,200
resnet50,MarginAscentFrozen,MaxSensitivity,1.038,0.094,,200
resnet50,MarginAscentFrozen,RandomLogit,0.029,0.063,,200
resnet50,MarginGradientAscent,Infidelity,1650000.0,5600000.0,,200
resnet50,MarginGradientAscent,FaithfulnessCorrelation,0.004,0.139,,200
resnet50,MarginGradientAscent,MonotonicityCorrelation,0.175,0.356,,200
resnet50,MarginGradientAscent,FaithfulnessEstimate,0.585,0.256,,200
resnet50,MarginGradientAscent,MaxSensitivity,1.273,0.046,,200
resnet50,MarginGradientAscent,RandomLogit,0.014,0.056,,200
resnet50,Deconvolution,Infidelity,9180000000000000.0,8700000000000000.0,,200
resnet50,Deconvolution,FaithfulnessCorrelation,-0.004,0.147,,200
resnet50,Deconvolution,MonotonicityCorrelation,0.216,0.38,,200
resnet50,Deconvolution,FaithfulnessEstimate,0.173,0.381,,200
resnet50,Deconvolution,MaxSensitivity,0.181,0.08,,200
resnet50,Deconvolution,RandomLogit,1.0,0.0,,200
resnet50,DeepLift,Infidelity,33.418,30.4,,200
resnet50,DeepLift,FaithfulnessCorrelation,-0.006,0.141,,200
resnet50,DeepLift,MonotonicityCorrelation,0.305,0.389,,200
resnet50,DeepLift,FaithfulnessEstimate,-0.152,0.273,,200
resnet50,DeepLift,MaxSensitivity,0.692,0.231,,200
resnet50,DeepLift,RandomLogit,0.013,0.28,,200
resnet50,Gradient,Infidelity,10.091,7.641,,200
resnet50,Gradient,FaithfulnessCorrelation,0.014,0.139,,200
resnet50,Gradient,MonotonicityCorrelation,0.157,0.396,,200
resnet50,Gradient,FaithfulnessEstimate,0.384,0.284,,200
resnet50,Gradient,MaxSensitivity,1.03,0.301,,200
resnet50,Gradient,RandomLogit,-0.026,0.151,,200
resnet50,GradientShap,Infidelity,790.671,5498.654,,200
resnet50,GradientShap,FaithfulnessCorrelation,-0.037,0.138,,200
resnet50,GradientShap,MonotonicityCorrelation,0.304,0.391,,200
resnet50,GradientShap,FaithfulnessEstimate,-0.46,0.307,,200
resnet50,GradientShap,MaxSensitivity,2.935,1.917,,200
resnet50,GradientShap,RandomLogit,-0.005,0.06,,200
resnet50,GuidedGradCam,Infidelity,4663.799,7279.691,,200
resnet50,GuidedGradCam,FaithfulnessCorrelation,0.009,0.13,,200
resnet50,GuidedGradCam,MonotonicityCorrelation,0.402,0.316,,200
resnet50,GuidedGradCam,FaithfulnessEstimate,0.072,0.267,,200
resnet50,GuidedGradCam,MaxSensitivity,0.189,0.054,,200
resnet50,GuidedGradCam,RandomLogit,0.364,0.25,,200
resnet50,InputXGradient,Infidelity,14.383,19.63,,200
resnet50,InputXGradient,FaithfulnessCorrelation,-0.034,0.145,,200
resnet50,InputXGradient,MonotonicityCorrelation,0.264,0.411,,200
resnet50,InputXGradient,FaithfulnessEstimate,-0.295,0.273,,200
resnet50,InputXGradient,MaxSensitivity,1.092,0.392,,200
resnet50,InputXGradient,RandomLogit,-0.02,0.162,,200
resnet50,IntegratedGradients,Infidelity,75.334,111.57,,200
resnet50,IntegratedGradients,FaithfulnessCorrelation,-0.019,0.147,,200
resnet50,IntegratedGradients,MonotonicityCorrelation,0.324,0.387,,200
resnet50,IntegratedGradients,FaithfulnessEstimate,-0.355,0.336,,200
resnet50,IntegratedGradients,MaxSensitivity,0.741,0.254,,200
